"date","awnd"
2021-11-30,6.93
2021-12-07,6.49
2021-12-08,2.01
2021-12-21,4.03
2021-12-25,13.2
2021-12-26,3.13
2022-01-05,4.9
2022-01-07,8.1
2022-01-15,5.8
2022-01-19,7.8
2022-01-23,4.0
2022-01-24,4.3
2022-01-25,2.9
2022-01-28,2.9
2022-01-29,8.7
2022-02-10,7.4
2022-02-24,7.4
2022-02-26,5.8
2022-03-15,4.7
2022-03-24,11.6
2022-03-27,7.6
2022-04-03,5.8
2022-04-07,8.5
2022-04-09,6.9
2022-04-12,8.3
2022-04-15,5.4
2022-04-19,5.4
2022-04-29,6.0
2022-05-03,8.7
2022-05-08,9.4
2022-05-12,10.7
2022-05-14,2.5
2022-05-16,7.4
2022-05-23,6.0
2022-05-25,7.8
2022-05-30,2.9
2017-01-01,6.49
2017-01-08,4.92
2017-01-16,4.47
2017-01-23,9.84
2017-02-07,12.53
2017-02-08,5.82
2017-02-21,5.82
2017-02-24,3.58
2017-02-25,13.2
2017-02-26,4.47
2017-03-02,8.05
2017-03-03,6.71
2017-03-08,8.5
2017-03-20,3.58
2017-04-03,9.17
2017-04-05,6.71
2017-04-06,15.21
2017-04-07,11.86
2017-04-09,4.47
2017-04-11,10.51
2017-04-18,9.62
2017-04-25,6.93
2017-05-13,4.47
2017-05-19,8.05
2017-05-20,7.38
2017-05-22,8.05
2017-05-23,4.47
2017-05-29,3.13
2017-06-01,1.57
2017-06-02,3.8
2017-06-04,5.82
2017-06-12,6.49
2017-06-14,5.82
2017-06-15,3.36
2017-07-02,4.47
2017-07-05,2.46
2017-07-11,6.93
2017-07-16,5.14
2017-07-19,2.68
2017-07-20,3.8
2017-07-22,10.74
2017-08-03,3.8
2017-08-04,7.16
2017-08-07,10.96
2017-08-13,6.26
2017-08-21,3.13
2017-08-27,9.17
2017-08-31,7.16
2017-09-04,3.58
2017-09-13,6.71
2017-09-22,2.24
2017-09-25,6.71
2017-10-20,2.01
2017-10-21,2.01
2017-10-23,10.74
2017-10-30,6.93
2017-10-31,1.79
2017-11-08,8.28
2017-11-09,4.03
2017-11-23,2.68
2017-11-24,1.57
2017-11-26,2.91
2017-12-01,5.14
2017-12-03,2.46
2017-12-12,9.62
2017-12-18,2.01
2017-12-20,2.46
2017-12-25,7.61
2017-12-26,2.24
2017-12-28,7.83
